Date,Location,MinTemp,MaxTemp,Rainfall,Evaporation,Sunshine,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Cloud9am,Cloud3pm,Temp9am,Temp3pm,RainToday,RainTomorrow
5/25/2017,Albury,4.2,14,0.2,NA,NA,W,20,NA,NW,0,11,100,76,1023.6,1022,7,8,8.8,13.5,No,No
5/25/2017,BadgerysCreek,5.8,20.2,0,NA,NA,SW,15,NA,NNE,0,6,75,45,1021.7,1018.7,NA,NA,13.1,19.6,No,No
5/25/2017,Cobar,6.5,18.8,0.2,NA,NA,SW,26,S,S,6,13,82,49,1023.5,1021,NA,NA,12.1,18.3,No,No
5/25/2017,CoffsHarbour,11.9,20.9,0,NA,NA,SW,30,SW,S,15,13,56,52,1020.8,1018.8,NA,NA,17.8,20.2,No,No
5/25/2017,Moree,7.1,20.2,0,NA,NA,WSW,31,NA,SW,0,24,74,45,1021.2,1018.7,NA,NA,13.6,20,No,No
5/25/2017,Newcastle,8.5,20.8,0.2,NA,NA,NA,NA,NW,NA,9,NA,74,NA,NA,NA,2,NA,13.8,NA,No,No
5/25/2017,NorahHead,12,19.5,0,NA,NA,W,20,WSW,SSE,11,11,64,65,1020.9,1018.9,NA,NA,15,18.1,No,No
5/25/2017,NorfolkIsland,16.7,21,20.8,NA,NA,ENE,59,ENE,NE,6,13,94,73,1015.2,1010.9,8,3,18,20.2,Yes,Yes
5/25/2017,Penrith,6.6,20.7,0,NA,NA,NNE,13,N,NNE,2,7,80,44,NA,NA,NA,NA,12.7,20,No,No
5/25/2017,Richmond,4.2,20.2,0.2,3,NA,NNE,15,NA,NNE,0,7,79,40,1021.8,1018.8,NA,NA,12.2,19.5,No,No
5/25/2017,Sydney,11.6,21.4,0,5.6,9.6,WSW,33,W,E,22,11,60,43,1021.3,1018.9,1,0,14,19.7,No,No
5/25/2017,SydneyAirport,12.1,20.7,0.2,5.6,9.6,NW,39,W,SE,19,11,56,50,1021.1,1018.8,1,0,16.4,19,No,No
5/25/2017,WaggaWagga,4.2,14.5,0,2.4,NA,WSW,26,ESE,SW,6,17,99,69,1023.4,1021.9,8,8,7,14,No,No
5/25/2017,Williamtown,9.5,19.9,0,NA,NA,WNW,31,WNW,SSE,20,9,67,59,1021.1,1018.7,NA,NA,14.3,19.1,No,No
5/25/2017,Wollongong,11.4,18.8,0,NA,NA,WSW,30,NW,ENE,9,7,60,46,1021.2,1018.6,NA,NA,16.7,18.4,No,No
5/25/2017,Canberra,0.8,12.5,0,NA,NA,NW,20,SE,WSW,9,13,99,77,1022.6,1020,8,NA,4.4,11.5,No,No
5/25/2017,Tuggeranong,-0.4,11.3,0,NA,NA,N,17,NA,NNW,0,6,100,80,1022.5,1020,NA,NA,4.8,9.4,No,No
5/25/2017,MountGinini,0.1,9.6,0.2,NA,NA,SW,39,SW,SW,20,13,64,69,NA,NA,NA,NA,5.4,7.2,No,No
5/25/2017,Ballarat,8.4,14,1,NA,NA,NNW,39,N,NNW,20,22,99,92,1021.2,1019.2,8,7,9.5,12.6,No,Yes
5/25/2017,Bendigo,4.6,15.3,0,NA,NA,NW,28,WNW,NW,9,13,96,66,1022,1019.6,7,8,10.8,15.2,No,No
5/25/2017,Sale,5,18.5,0,NA,NA,NA,NA,NW,WSW,11,20,84,61,1020.4,1017.8,NA,NA,11.3,16,No,No
5/25/2017,MelbourneAirport,11.4,17.4,0,2.2,1.4,N,43,NNW,NW,13,20,66,61,1021.3,1018.7,7,7,13,16.4,No,No
5/25/2017,Melbourne,13.7,18.5,0,2.2,1.4,NNW,35,N,NNW,11,17,67,53,1020.9,1018,7,7,14,17.9,No,No
5/25/2017,Mildura,7.9,20.9,0,2,NA,W,30,NW,WNW,7,17,91,45,1023.9,1021.1,7,6,11.6,19.5,No,No
5/25/2017,Nhil,11.6,18,0,NA,NA,W,44,NNW,WNW,13,26,84,66,1021.6,1019.5,NA,NA,12.7,17,No,No
5/25/2017,Portland,11.5,16.7,0.4,NA,NA,WNW,48,NNW,WNW,20,28,88,81,1018.3,1016.6,6,8,12.5,16,No,Yes
5/25/2017,Watsonia,12.4,16.8,0,2.2,1.4,N,35,NNW,N,11,17,72,68,1021.1,1018.4,7,7,12.8,15.9,No,No
5/25/2017,Dartmoor,10.9,16.5,1,NA,NA,NW,33,N,NNW,13,13,95,89,1018.8,1017.2,NA,NA,12.4,15.7,No,Yes
5/25/2017,Brisbane,13.7,24.9,0.2,3.8,9.5,E,20,SW,E,6,6,65,53,1019.4,1017.2,1,1,19.5,23.1,No,No
5/25/2017,Cairns,19.5,27.9,1,NA,NA,SE,52,SSE,SE,26,37,68,53,1017.1,1014.6,NA,NA,24.2,26.9,No,No
5/25/2017,GoldCoast,14.9,23.8,0,NA,NA,S,41,S,SE,30,31,76,82,1019.1,1017.5,NA,NA,21.1,22.5,No,No
5/25/2017,Townsville,16,28,0,5.6,NA,E,33,S,ENE,9,20,64,43,1018.2,1015.6,NA,NA,22.6,27.1,No,No
5/25/2017,Adelaide,10,20.2,0.2,NA,NA,WSW,26,NE,W,7,15,79,53,1023.2,1020.9,NA,NA,14.2,19.4,No,No
5/25/2017,MountGambier,NA,16.8,NA,NA,NA,WNW,39,N,WNW,15,20,96,81,1018.8,1017.6,8,8,12.9,16.4,NA,Yes
5/25/2017,Nuriootpa,5.9,18.8,0.2,2,NA,WNW,46,WNW,W,20,24,71,48,1022.8,1020.6,5,NA,14.2,18.3,No,No
5/25/2017,Woomera,9.5,21.6,0,2.4,NA,SSW,22,ENE,SW,6,13,71,36,1023.9,1021.6,1,NA,15,21.1,No,No
5/25/2017,Albany,11,20.9,4.8,NA,NA,NA,NA,WNW,NA,2,NA,96,NA,1020.2,1015.9,2,NA,12.2,NA,Yes,Yes
5/25/2017,Witchcliffe,10.1,20,3,NA,NA,NNW,44,N,NNW,11,19,100,56,1020.2,1017.7,NA,NA,16,19,Yes,Yes
5/25/2017,PearceRAAF,6.5,23.4,0,NA,9.4,NE,28,E,NE,6,15,77,38,1022.2,1018.7,NA,NA,16.3,22.9,No,Yes
5/25/2017,PerthAirport,8.3,22.5,0,2,9.4,WNW,28,NE,WSW,11,15,76,41,1022.3,1018.8,1,1,14.4,21.6,No,Yes
5/25/2017,Perth,7.4,22.4,0,2,9.4,NNE,20,W,WNW,6,9,94,46,1022.1,1018.9,1,1,13.4,21.6,No,Yes
5/25/2017,SalmonGums,1.8,20.9,0,NA,NA,NNE,24,NNW,NNW,6,13,88,42,NA,NA,NA,NA,13.4,20.5,No,No
5/25/2017,Walpole,10.2,19.8,0.4,NA,NA,NW,48,NNW,NW,15,22,78,64,1019,1015.1,NA,NA,16,19.1,No,Yes
5/25/2017,Hobart,9.5,16.3,0,1.8,0.9,NW,46,NW,N,35,9,70,60,1012.7,1008.4,7,7,11.7,15.9,No,No
5/25/2017,Launceston,3.4,14.7,0,NA,NA,NNW,33,NA,N,0,20,97,83,NA,NA,NA,8,6.6,14.3,No,Yes
5/25/2017,AliceSprings,10,27.6,0,NA,NA,SE,37,S,ESE,7,13,39,19,1022.5,1018.3,8,NA,15.6,26.6,No,No
5/25/2017,Darwin,22.4,33.1,0,7.4,11.1,ENE,46,ESE,ENE,20,20,60,38,1013.3,1009.8,1,2,27.2,32.8,No,No
5/25/2017,Katherine,17,33.5,0,8,NA,ESE,46,E,E,15,17,81,NA,1014.4,1011,0,NA,23.7,NA,No,No
5/25/2017,Uluru,14.6,26.3,0,NA,NA,S,37,SSW,S,19,20,61,36,1022,1018.6,7,1,15.4,25,No,No
5/26/2017,Albury,8.7,15.6,0,NA,NA,NE,15,NE,ESE,7,9,93,73,1024,1021.3,NA,8,11.7,15.3,No,No
5/26/2017,BadgerysCreek,5.1,19.8,0,NA,NA,WSW,22,SSE,ESE,4,6,76,58,1022.2,1019.7,NA,NA,12.3,18.2,No,No
5/26/2017,Cobar,7.1,19.5,0,NA,NA,ESE,28,ESE,ESE,11,15,75,43,1023.9,1019.9,NA,NA,12.4,19.3,No,No
5/26/2017,CoffsHarbour,7.8,21.5,0,NA,NA,ENE,26,WSW,ENE,6,13,80,60,1021.3,1018.8,NA,NA,15.8,21.2,No,No
5/26/2017,Moree,6.8,21.9,0,NA,NA,E,22,E,S,13,9,77,43,1022.3,1018.2,NA,NA,13.2,21.5,No,No
5/26/2017,Newcastle,7.2,NA,0,NA,NA,NA,NA,NA,NA,0,NA,83,NA,NA,NA,2,NA,13,NA,No,No
5/26/2017,NorahHead,11.3,18.6,0,NA,NA,S,22,W,S,9,17,75,66,1021.3,1019.7,NA,NA,14.1,17.3,No,No
5/26/2017,NorfolkIsland,16.8,21.3,4,NA,NA,S,37,SSW,S,15,22,78,65,1014.9,1014,1,2,20.2,20.3,Yes,No
5/26/2017,Penrith,6.4,20.4,0,NA,NA,SSE,20,NNE,S,2,7,91,52,NA,NA,NA,NA,12.9,20.2,No,No
5/26/2017,Richmond,4.1,19.9,0,2,NA,SSW,24,NA,SSE,0,13,96,56,1022.3,1019.7,NA,2,9.5,18.8,No,No
5/26/2017,Sydney,10.6,20.8,0,1.8,9.8,W,30,W,S,19,13,58,56,1021.7,1019.7,2,3,14,19.6,No,No
5/26/2017,SydneyAirport,9.8,19,0,1.8,9.8,SSW,35,W,S,17,19,58,73,1021.6,1019.8,2,3,15.6,18.4,No,No
5/26/2017,WaggaWagga,6.4,18.2,0,0.6,NA,W,20,E,SSE,2,11,81,58,1024.1,1020.9,4,8,11.5,16.6,No,NA
5/26/2017,Williamtown,5.8,19.8,0,NA,NA,NW,24,NW,SSE,17,15,81,59,1021.7,1019.4,NA,NA,12.2,18.3,No,No
5/26/2017,Wollongong,11.1,18.9,0,NA,NA,S,30,NA,S,0,20,68,65,1021.2,1020,6,NA,14.3,18.2,No,No
5/26/2017,Canberra,0.4,16,0,NA,NA,NNW,17,ENE,NNW,4,11,99,47,1023.9,1021,8,NA,4.5,15.7,No,No
5/26/2017,Tuggeranong,0.7,15.2,0,NA,NA,WNW,17,NA,WNW,0,9,100,59,1023.7,1020.9,NA,NA,4.3,14.5,No,No
5/26/2017,MountGinini,0.1,8.2,0,NA,NA,SSW,39,SSW,WSW,20,7,98,78,NA,NA,NA,NA,2.5,7.3,No,No
5/26/2017,Ballarat,5.1,14,2.4,NA,NA,N,30,E,N,4,19,100,78,1023,1020.1,8,8,7.3,12.3,Yes,No
5/26/2017,Bendigo,6.9,16.4,0,NA,NA,NW,17,N,NNW,7,7,94,66,1022.4,1020,NA,7,11.4,15.8,No,No
5/26/2017,Sale,9,17.2,0.2,NA,NA,NA,NA,WSW,SW,13,9,94,57,1022.4,1020.4,NA,NA,12.3,16.6,No,No
5/26/2017,MelbourneAirport,11.3,17.4,0,0.8,4.4,N,44,W,NNE,6,9,83,60,1023,1019.4,7,4,12.8,16.6,No,No
5/26/2017,Melbourne,13.1,18,0,0.8,4.4,N,20,SW,SSW,6,7,79,57,1022.9,1019.3,7,4,13.7,16.9,No,No
5/26/2017,Mildura,5.9,21,0,NA,7.6,NW,24,NNE,NNW,11,15,93,47,1023.2,1019.9,NA,3,10.9,19.6,No,No
5/26/2017,Nhil,7.5,17.3,0,NA,NA,NNW,24,NA,N,0,13,96,66,1023,1019.4,NA,NA,10.3,16.8,No,No
5/26/2017,Portland,5.6,15.1,7.2,NA,NA,N,24,NW,NNW,6,13,88,59,1022.5,1019,8,5,11.2,14.2,Yes,No
5/26/2017,Watsonia,12.4,18.1,0,0.8,4.4,N,28,W,NNW,6,4,95,60,1022.9,1019.4,7,4,13,17.1,No,No
5/26/2017,Dartmoor,4.3,15.2,5.4,NA,NA,NNE,24,ENE,N,4,11,99,62,1023.1,1019.1,NA,NA,5.3,14.4,Yes,No
5/26/2017,Brisbane,14.8,25,0,3.6,9.6,NE,15,SW,ENE,6,6,72,57,1021.6,1017.9,1,1,19.5,23.3,No,No
5/26/2017,Cairns,21.7,28.3,0,NA,NA,ESE,50,SSE,SE,20,24,70,58,1017,1014.1,NA,3,24.8,27.1,No,No
5/26/2017,GoldCoast,13.9,22.7,0,NA,NA,ESE,20,S,E,13,15,89,70,1021.1,1018.2,NA,NA,19.7,21.9,No,No
5/26/2017,Townsville,16,27,0,5,NA,NE,28,W,NE,2,15,75,53,1018.4,1015.5,2,4,22,25.9,No,No
5/26/2017,Adelaide,12.5,21.9,0,NA,NA,NW,24,E,NW,4,13,87,36,1023,1018.1,NA,NA,13.9,21.6,No,No
5/26/2017,MountGambier,3.9,15.6,4.6,NA,NA,NNE,30,NNE,N,11,17,99,66,1022.7,1018.8,5,3,9.4,14.1,Yes,No
5/26/2017,Nuriootpa,5.2,20.4,0,NA,9.4,NW,30,NE,NNW,7,11,86,36,1023,1018.3,NA,NA,11.9,20,No,No
5/26/2017,Woomera,8.4,21.8,0,3.2,NA,N,30,E,N,9,13,65,36,1022.5,1018,0,NA,14.3,21.4,No,No
5/26/2017,Albany,13.4,16.5,2.2,NA,NA,NA,NA,WNW,NA,7,NA,89,NA,1018.9,1019.2,6,NA,14,NA,Yes,Yes
5/26/2017,Witchcliffe,13,16.2,7.4,NA,NA,WSW,35,SSW,SSE,6,13,72,80,1021.3,1021.3,NA,NA,15,14.6,Yes,No
5/26/2017,PearceRAAF,9.4,20.7,3.6,NA,6.7,SSW,31,WSW,S,4,22,96,56,1021.2,1020,8,1,14.4,19.1,Yes,No
5/26/2017,PerthAirport,9.7,19.9,3.8,2.8,6.7,SSW,31,SE,S,4,17,89,55,1021.2,1020.3,0,3,15.9,18.1,Yes,No
5/26/2017,Perth,10,19.4,1.4,2.8,6.7,SSE,30,SSE,SSW,9,11,90,60,1021.1,1020.1,0,3,16.2,18.7,Yes,No
5/26/2017,SalmonGums,5.2,18.4,0,NA,NA,WSW,30,W,SW,11,19,80,56,NA,NA,NA,NA,13,17.8,No,No
5/26/2017,Walpole,11.9,17.5,3.2,NA,NA,SSW,37,WSW,SW,4,6,95,87,1019.5,1019.9,NA,NA,12.8,14.3,Yes,Yes
5/26/2017,Hobart,8.5,14.8,0,1.2,8,NW,35,W,NW,11,20,57,46,1017.6,1016.6,2,4,11.2,13.8,No,No
5/26/2017,Launceston,2.6,15.3,2.4,NA,NA,NW,22,NA,NNW,0,11,98,59,NA,NA,NA,1,4.5,14.4,Yes,No
5/26/2017,AliceSprings,8.2,28.2,0,NA,NA,E,24,NA,NNW,0,6,34,19,1021.6,1016.1,6,NA,15.9,27.3,No,No
5/26/2017,Darwin,24.3,31.9,0,6.4,10.9,ESE,50,ESE,E,20,20,48,38,1013.3,1010.1,1,0,27.1,31.3,No,No
5/26/2017,Katherine,17.5,33.5,0,11.2,NA,ESE,46,ESE,ESE,13,20,71,NA,1014.3,1011,1,NA,24.5,NA,No,No
5/26/2017,Uluru,14.3,27.6,0.4,NA,NA,WNW,39,NA,NW,0,20,68,27,1020.5,1016.1,4,7,16.1,27.2,No,No
5/27/2017,Albury,6.1,17.6,0,NA,NA,ENE,19,ENE,NNE,6,11,94,63,1021.3,1016.4,5,NA,11.4,16.5,No,Yes
5/27/2017,BadgerysCreek,8,20.6,0,NA,NA,NNE,17,SSE,N,4,9,92,58,1022.2,1017.4,NA,NA,12.8,20,No,No
5/27/2017,Cobar,6.7,21.4,0.2,NA,NA,NNE,26,ENE,W,13,9,79,36,1020.3,1016.1,NA,NA,13,20.9,No,No
5/27/2017,CoffsHarbour,10,22,0,NA,NA,NE,37,W,NE,6,26,78,72,1022.7,1018.6,NA,NA,17.3,21,No,No
5/27/2017,Moree,8.4,24.2,0,NA,NA,NNE,33,NE,NNW,17,15,80,39,1021.4,1017.1,NA,NA,15.4,24.1,No,Yes
5/27/2017,Newcastle,NA,20.5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,No
5/27/2017,NorahHead,12.7,22.4,0,NA,NA,NNE,30,NW,NE,9,19,82,71,1021.7,1017.7,NA,NA,15.7,18.6,No,No
5/27/2017,NorfolkIsland,17.4,21.1,0.4,NA,NA,SSW,35,S,S,15,19,68,63,1019.5,1018,4,1,19.4,19.5,No,No
5/27/2017,Penrith,9.3,21.3,0,NA,NA,NNE,17,NA,N,0,9,98,60,NA,NA,NA,NA,13.4,20.5,No,No
5/27/2017,Richmond,6.8,20.6,0,NA,NA,ENE,20,NA,ENE,0,13,91,60,1022.2,1017.3,1,NA,12.9,20.2,No,No
5/27/2017,Sydney,12.6,20.6,0,2.8,7,W,24,W,ENE,19,15,77,65,1021.8,1017.6,3,3,14.2,19.4,No,No
5/27/2017,SydneyAirport,11.7,20.9,0,2.8,7,NE,28,NW,ENE,13,17,75,71,1021.7,1017.4,3,3,15.9,19.8,No,No
